id,first_name,middle_name,nick_name,last_name,birth_date,birth_town_city,birth_state,birth_country,death_date,resting_place,rank_attained,service_branch,nationality,first_time_in_space_date,total_duration_space_secs,retirement_date,image_photo,image_signature,wikipedia_bio_website
f0544a34-d7e7-4324-b81b-9f24c1e69914,Konstantin,Petrovich,,Feoktistov,1926-02-07,Voronezh (Soviet),,Soviet Union,2009-11-21,,Civilian,N/A,Russian (Soviet),1964-10-12,"1 day, 0:17:00",,,,https://en.wikipedia.org/wiki/Konstantin_Feoktistov
161f38ba-edd7-4c4f-ac1a-b62280d1b07c,Vladimir,Mikhaylovich,,Komarov,1927-03-16,Moscow,,Soviet Union,1967-04-24,,Colonel,Soviet Air Force,Russian (Soviet),1964-10-12,"2 days, 3:04:00",,,,https://en.wikipedia.org/wiki/Vladimir_Komarov
0b2ff707-7e2a-42bf-81f0-119068accdda,Boris,Borisovich,,Yegorov,1937-11-26,Moscow,,Soviet Union,1994-11-12,,Civilian,N/A,Russian (Soviet),1964-10-12,"1 day, 0:17:00",,,,https://en.wikipedia.org/wiki/Boris_Yegorov
e363e3ed-2b61-4fb7-b3cd-4cf605596917,Alexei,Arkhipovich,,Leonov,1934-05-30,Listvyanka,"West Siberian Krai, Russian SFSR",Soviet Union,2019-10-11,"Federal Military Memorial Cemetery, Moscow Oblast",Major General,Soviet Air Force,Russian (Soviet),1965-03-18,"7 days, 0:33:03",,,,https://en.wikipedia.org/wiki/Alexei_Leonov
4e28ef9d-cc73-4245-9395-498a7e1bde50,Pavel,Ivanovich,,Belyayev,1925-06-26,Chelishchevo,Northern Dvina Governorate,Soviet Union,1970-01-10,"Novodevichy Cemetery, Moscow",Major,Soviet Air Force,Russian (Soviet),1965-03-18,"1 day, 2:02:00",,,,https://en.wikipedia.org/wiki/Pavel_Belyayev
282113ad-6975-480c-97b8-6dc979e67a9e,John,Watts,,Young,1930-09-24,San Francisco,Califormia,U.S.,2018-01-05,Arlington National Cemetery,Captain,United States Navy,American,1965-03-23,"34 days, 19:39:00",2004-12-31,,,https://en.wikipedia.org/wiki/John_Young_(astronaut)#Gemini_3
ef37b6e8-e254-4672-85ff-6be21d607dfa,James,Alton,"""Jim""",McDivitt,1929-06-10,Chicago,Illinois,U.S.,,,Brigadier General,United States Air Force,American,1965-06-03,"14 days, 2:56:00",1972-06-01,,,https://en.wikipedia.org/wiki/James_McDivitt
799b3888-ea90-495a-a550-5a7f7bd96031,Edward,Higgins,"""Ed""",White,1930-11-14,San Antonio,Texas,U.S.,1967-01-27,West Point Cemetery,Lieutenant Colonel,United States Air Force,American,1965-06-03,"4 days, 1:56:00",,,,https://en.wikipedia.org/wiki/Ed_White_(astronaut)
ef7abcf9-e0ff-4e71-b197-b50e22439cf8,Charles,,"""Pete""",Conrad,1930-06-02,"Philadelphia,",Pennsylvania,U.S,1999-07-08,Arlington National Cemetery,Captain,United States Navy,American,1965-08-21,"49 days, 3:38:00",1973-12-31,,,https://en.wikipedia.org/wiki/Pete_Conrad
c0a5ff38-3f93-4e9c-8b10-1f4e61327144,James,Arthur,"""Jim""",Lovell,1928-03-25,Cleveland,Ohio,U.S.,,,Captain,United States Navy,American,1965-12-04,"29 days, 19:05:00",1973-03-01,,,https://en.wikipedia.org/wiki/Jim_Lovell
307a2d1d-460a-4215-b1cd-6268dc78b1cd,Frank,Frederick,,Borman,1928-03-14,Gary,Indiana,U.S.,,,Colonel,United States Air Force,American,1965-12-04,"19 days, 21:35:00",1970-07-01,,,https://en.wikipedia.org/wiki/Frank_Borman
38eed005-af71-417a-af55-0930e99179df,Thomas,Patten,,Stafford,1930-09-17,Weatherford,Oklahoma,U.S.,,,Lieutenant General,United States Air Force,American,1965-12-15,"21 days, 3:42:00",1979-11-01,,,https://en.wikipedia.org/wiki/Thomas_P._Stafford
5ab8f960-a19d-4bbe-a7b2-f34863b780ef,David,Randolph,"""Dave""",Scott,1932-06-06,San Antonio,Texas,U.S.,,,Colonel,United States Air Force,American,1966-03-16,"22 days, 18:54:00",1977-09-30,,,https://en.wikipedia.org/wiki/David_Scott
1e592553-8d33-43e6-b9e9-b1818f1ade60,Neil,Alden,,Armstrong,1930-08-05,Wapakoneta,Ohio,U.S.,2012-08-25,,Lieutenant,United States Navy,American,1966-03-16,"8 days, 14:12:30",,,,https://en.wikipedia.org/wiki/Neil_Armstrong
60c97a0f-9053-483e-b68b-dc4cdc1d1444,Eugene,Andrew,,Cernan,1934-03-14,Chicago,Illinois,U.S.,2017-01-16,Texas State Cemetery,Captain,United States Navy,American,1966-06-03,"23 days, 14:15:00",1976-07-01,,,https://en.wikipedia.org/wiki/Gene_Cernan
b0580843-bd93-45c9-a43b-48bf31d0b2b2,Michael,,,Collins,1930-10-31,Rome,,Italy,2021-04-28,,Major General,United States Air Force,American,1966-07-18,"11 days, 2:04:43",,,,https://en.wikipedia.org/wiki/Michael_Collins_(astronaut)
aa68e9d5-c3ef-4eea-b2c8-6f2cfd5f3d22,Richard,Francis,,Gordon,1929-10-05,Seattle,Washington,U.S.,2017-11-06,Arlington National Cemetery,Captain,United States Navy,American,1966-09-12,"13 days, 3:53:00",1972-01-01,,,https://en.wikipedia.org/wiki/Richard_F._Gordon_Jr.
1e4e34b3-997f-4c00-a67f-c9c297ed6452,Edwin,Eugene,"""Buzz""",Aldrin,1930-01-20,Glen Ridge,New Jersey,U.S.,,,Colonel,United States Air Force,American,1966-11-11,"12 days, 1:53:00",1971-07-01,,,https://en.wikipedia.org/wiki/Buzz_Aldrin
fc9acdd6-e58f-4711-a433-22eba48b81e4,Donn,Fulton,,Eisele,1930-07-23,Columbus,Ohio,U.S.,1987-12-02,Arlington National Cemetery,Colonel,United States Air Force,American,1968-10-11,"10 days, 20:08:00",1970-06-01,,,https://en.wikipedia.org/wiki/Donn_F._Eisele
c9cddd69-fa79-483e-bf45-8bb975d8bf19,Ronald,Walter,"""Walt""",Cunningham,1932-03-16,Creston,Iowa,U.S.,,,Colonel,United States Marine Corps Reserve,American,1968-10-11,"10 days, 20:08:00",1971-08-01,,,
83e5cef9-9e5a-4231-869b-b3567e07a51f,Georgy,Timofeyevich,,Beregovoy,1921-04-15,"Fedorivka, Poltava Oblast",Ukrainian Soviet Socialist Republic,Soviet Union,1995-06-30,,Lieutenant Colonel,Soviet Air Force,Ukrainian (Soviet),1968-10-26,"3 days, 22:50:00",,,,https://en.wikipedia.org/wiki/Georgy_Beregovoy
eb851922-d03a-4103-b5ad-a4f5a7ad5f2b,William,Alison,"""Bill""",Anders,1933-10-17,,,British Hong Kong,,,Major General,United States Air Force,American,1968-12-12,"6 days, 3:00:00",1969-09-01,,,https://en.wikipedia.org/wiki/William_Anders
500544f2-c415-4724-8636-2347a1e73d29,Vladimir,Aleksandrovich,,Shatalov,1927-12-08,Petropavlovsk,"Kazak ASSR, RSFSR",Soviet Union,2021-06-15,"Federal Military Memorial Cemetery, Moscow Oblast",Lieutenant General,Soviet Air Force,Russian (Soviet),1969-01-14,"9 days, 21:55:00",,,,https://en.wikipedia.org/wiki/Vladimir_Shatalov
ec258214-3246-4196-8f2f-b4481301a262,Boris,Valentinovich,,Volynov,1934-12-18,Irkutsk,Russian SFSR,Soviet Union,,,Colonel,Soviet Air Force,Russian (Soviet),1969-01-15,"52 days, 7:17:00",,,,https://en.wikipedia.org/wiki/Boris_Volynov
55d142bb-ab51-4790-91b1-190decc25b86,Aleksei,Stanislavovich,,Yeliseyev,1934-07-13,Zhizdra,Russian SFSR,Soviet Union,,,Civilian,N/A,Russian (Soviet),1969-01-15,"8 days, 22:20:00",,,,https://en.wikipedia.org/wiki/Aleksei_Yeliseyev
46ed8076-808e-4297-891e-0ed7dca314e9,Yevgeny,Vasilyevich,,Khrunov,1933-09-10,,Tula Oblast,Soviet Union,2000-05-19,,Colonel,Soviet Air Force,Russian (Soviet),1969-01-15,"1 day, 23:45:00",,,,https://en.wikipedia.org/wiki/Yevgeny_Khrunov
a92f8c27-6f38-4e85-8909-e9fe6cf5c34d,Russell,Louis,"""Rusty""",Schweickart,1935-10-25,Neptune,New Jersey,U.S.,,,Unknown,United States Air Force,American,1969-03-03,"10 days, 1:00:00",,,,https://en.wikipedia.org/wiki/Rusty_Schweickart
87e40337-d135-440f-8325-7c20462c6e5f,Valery,Nikolaevich,,Kubasov,1935-01-07,"Vyazniki, Ivanovo Industrial Oblast",Russian SFSR,Soviet Union,2014-02-19,,Civilian,N/A,Russian (Soviet),1969-10-11,"18 days, 17:59:00",1993-11-13,,,https://en.wikipedia.org/wiki/Valery_Kubasov
2d8562fb-c1cb-4e76-82d7-6517402b0f2e,Georgy,Stepanovich,,Shonin,1935-08-03,Rovenky,,Soviet Union,1997-04-07,,Lieutenant General,Soviet Air Force,Ukrainian (Soviet),1969-10-11,"4 days, 22:42:00",,,,https://en.wikipedia.org/wiki/Georgy_Shonin
dd46fd3a-c1e2-4ae2-9e6c-e3268ecd1b84,Viktor,Vasilyevich,,Gorbatko,1934-12-03,Ventsy-Zarya,Azov-Black Sea Krai,Soviet Union,2017-05-17,"Federal Military Memorial Cemetery, Moscow Oblast",Major General,Soviet Air Force,Ukrainian (Soviet),1969-10-12,"30 days, 12:47:00",,,,https://en.wikipedia.org/wiki/Viktor_Gorbatko
8598d0f7-b6d1-4078-8da7-d60671e4aa6a,Vladislav,Nikolayevich,,Volkov,1935-11-23,Moscow,,Soviet Union,1971-06-29,,Civilian,N/A,Russian (Soviet),1969-10-12,"28 days, 17:01:00",,,,https://en.wikipedia.org/wiki/Vladislav_Volkov
80a02c26-8be8-45d3-a429-687721da5d79,Anatoly,Vasilyevich,,Filipchenko,1928-02-26,Davydovka,,Soviet Union,,,Major General,Soviet Air Force,Russian (Soviet),1969-10-12,"10 days, 21:03:00",,,,https://en.wikipedia.org/wiki/Anatoly_Filipchenko
35acde89-7a81-4d73-b5a8-17ff6d8a7726,Alan,LaVern,,Bean,1932-03-15,Wheeler,Texas,U.S.,2018-05-26,Arlington National Cemetery,Captain,United States Navy,American,1969-11-14,"69 days, 15:45:00",1981-06-30,,,https://en.wikipedia.org/wiki/Alan_Bean
e8002b5a-bc68-4ab2-95df-fb5228115046,John,Leonard,"""Jack""",Swigert,1931-08-30,Denver,Colorado,U.S.,1982-12-27,Mount Olivet Cemetery,Captain,Air National Guard,American,1970-04-11,"5 days, 22:54:00",1977-08-31,,,https://en.wikipedia.org/wiki/List_of_space_travellers_by_first_flight
1dcc3bd4-e306-4b39-9de4-a984b6427f5d,Fred,Wallace,,Haise,1933-11-14,Biloxi,Mississippi,U.S.,,,Captain,United States Air Force,American,1970-04-11,"5 days, 22:54:00",1979-06-29,,,https://en.wikipedia.org/wiki/Fred_Haise#Apollo_13
99ba1015-8ae9-4c27-a04f-49a61ea43311,Vitaly,Ivanovich,,Sevastyanov,1935-07-08,Moscow,,Soviet Union,2010-04-05,,Civilian,N/A,Russian (Soviet),1970-06-01,"80 days, 16:18:00",,,,https://en.wikipedia.org/wiki/Vitaly_Sevastyanov
c4570354-c65e-4feb-ab97-cebb8edd69fb,Edgar,Dean,,Mitchell,1930-09-17,Hereford,Texas,U.S.,2016-02-04,,Captain,United States Navy,American,1971-01-31,"9 days, 0:01:00",1972-10-01,,,https://en.wikipedia.org/wiki/Edgar_Mitchell
b96faab2-27bd-4644-90b7-88076627a1ca,Stuart,Allen,,Roosa,1933-08-16,Durango,Colorado,U.S.,1994-12-12,Arlington National Cemetery,Captain,United States Air Force,American,1971-01-31,"9 days, 0:01:00",1976-02-01,,,https://en.wikipedia.org/wiki/Stuart_Roosa
8aadd277-3ba3-491f-94eb-d0819aaad927,Nikolai,Nikolayevich,,Rukavishnikov,1932-09-18,Tomsk,,Soviet Union,2002-10-18,,Civilian,N/A,Russian (Soviet),1971-04-22,"9 days, 21:09:00",,,,https://en.wikipedia.org/wiki/Nikolai_Rukavishnikov
7148f277-c671-44e0-b5b6-d867934d0176,Viktor,Ivanovich,,Patsayev,1933-06-19,Aktyubinsk,"Kazakh ASSR, Russian SFSR",Soviet Union,1971-06-29,,Civilian,N/A,Kazakhstani (Soviet),1971-06-06,"23 days, 18:21:00",,,,https://en.wikipedia.org/wiki/Viktor_Patsayev
5e6b4b92-6b87-43da-9eb1-57a684f624d6,Georgy,Timofeyevich,,Dobrovolsky,1928-06-29,Odessa,Ukrainian SSR,Soviet Union,1971-06-29,,Lieutenant Colonel,Soviet Air Force,Ukrainian (Soviet),1971-06-06,"23 days, 18:21:00",,,,https://en.wikipedia.org/wiki/Georgy_Dobrovolsky
3dc20723-1c41-4f5f-a1df-b0bcff97e9d6,James,Benson,,Irwin,1930-03-17,Pittsburgh,Pennsylvania,U.S.,1991-08-08,Arlington National Cemetery,Colonel,United States Air Force,American,1971-07-26,"12 days, 7:12:00",1972-07-31,,,https://en.wikipedia.org/wiki/James_Irwin
025c31da-760e-4a0a-92a1-20301d2df8b3,Alfred,Merrill,"""Al""",Worden,1932-02-07,Jackson,Michigan,U.S.,2020-03-18,,Colonel,United States Air Force,American,1971-07-26,"12 days, 7:12:00",1975-09-01,,,https://en.wikipedia.org/wiki/Alfred_Worden
23c9f2ac-534e-42f5-bc37-0326da42c8e3,Thomas,Kenneth,"""Ken""",Mattingly,1936-03-17,Chicago,Illinois,U.S.,,,Rear Admiral,United States Navy,American,1972-04-16,"21 days, 4:34:00",1985-06-30,,,https://en.wikipedia.org/wiki/Ken_Mattingly
108db04e-5d06-4a52-a8df-29a23576ad98,Charles,Moss,"""Charlie""",Duke,1935-10-03,Charlotte,North Carolina,U.S.,,,Brigadier General,United States Air Force,American,1972-04-16,"11 days, 1:51:00",1976-01-01,,,https://en.wikipedia.org/wiki/Charles_Duke
e7f4eb5a-c455-4faf-b3f1-d3219a05e2d2,Ronald,Ellwin,,Evans,1933-11-10,St. Francis,Kansas,U.S.,1990-04-07,,Captain,United States Navy,American,1972-12-07,"12 days, 13:52:00",1977-03-15,,,https://en.wikipedia.org/wiki/Ronald_Evans_(astronaut)
058a2703-568d-4676-aacc-d6370dbde02a,Harrison,Hagan,"""Jack""",Schmitt,1935-07-03,Santa Rita,New Mexico,U.S.,,,Civilian,N/A,American,1972-12-07,"12 days, 13:52:00",1975-08-30,,,https://en.wikipedia.org/wiki/Harrison_Schmitt
